=== monitor_resources.sh started 2026-09-17T11:13:17Z ===
tracking tmux session 'index_d10b', process pattern 'vg', RSS stop limit 100GB
2026-09-17T11:13:17Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 85G used (5651M wired, 3572M compressor), 41G unused.
2026-09-17T11:13:38Z tracked_rss_gb=2 unused_mb=99999 PhysMem: 86G used (5435M wired, 3572M compressor), 40G unused.
2026-09-17T11:13:58Z tracked_rss_gb=2 unused_mb=99999 PhysMem: 87G used (5254M wired, 3572M compressor), 40G unused.
2026-09-17T11:14:19Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5655M wired, 3572M compressor), 40G unused.
2026-09-17T11:14:40Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5338M wired, 3572M compressor), 40G unused.
2026-09-17T11:15:01Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5748M wired, 3572M compressor), 40G unused.
2026-09-17T11:15:22Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5709M wired, 3572M compressor), 40G unused.
2026-09-17T11:15:42Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5950M wired, 3572M compressor), 40G unused.
2026-09-17T11:16:03Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5920M wired, 3572M compressor), 40G unused.
2026-09-17T11:16:24Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (4950M wired, 3572M compressor), 40G unused.
2026-09-17T11:16:45Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5096M wired, 3572M compressor), 40G unused.
2026-09-17T11:17:06Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5333M wired, 3572M compressor), 40G unused.
2026-09-17T11:17:26Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5345M wired, 3572M compressor), 40G unused.
2026-09-17T11:17:47Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5327M wired, 3572M compressor), 40G unused.
2026-09-17T11:18:08Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5337M wired, 3572M compressor), 40G unused.
2026-09-17T11:18:29Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5331M wired, 3572M compressor), 40G unused.
2026-09-17T11:18:49Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (4905M wired, 3572M compressor), 40G unused.
2026-09-17T11:19:10Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5087M wired, 3572M compressor), 40G unused.
2026-09-17T11:19:31Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5155M wired, 3571M compressor), 40G unused.
2026-09-17T11:19:52Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5326M wired, 3571M compressor), 40G unused.
2026-09-17T11:20:12Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5103M wired, 3571M compressor), 40G unused.
2026-09-17T11:20:33Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5344M wired, 3571M compressor), 40G unused.
