=== monitor_resources.sh started 2026-09-17T04:13:00Z ===
tracking tmux session 'full_scan', process pattern 'odgi', RSS stop limit 100GB
2026-09-17T04:13:00Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 94G used (5484M wired, 4260M compressor), 33G unused.
2026-09-17T04:13:32Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 94G used (5390M wired, 4260M compressor), 33G unused.
2026-09-17T04:14:03Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 94G used (5713M wired, 4261M compressor), 33G unused.
2026-09-17T04:14:34Z tracked_rss_gb=25 unused_mb=99999 PhysMem: 95G used (5734M wired, 4261M compressor), 32G unused.
2026-09-17T04:15:05Z tracked_rss_gb=28 unused_mb=99999 PhysMem: 98G used (5970M wired, 4261M compressor), 29G unused.
2026-09-17T04:15:35Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 96G used (5761M wired, 4260M compressor), 31G unused.
2026-09-17T04:16:07Z tracked_rss_gb=2 unused_mb=99999 PhysMem: 78G used (5860M wired, 4261M compressor), 49G unused.
2026-09-17T04:16:37Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 96G used (5901M wired, 4260M compressor), 31G unused.
2026-09-17T04:17:08Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 96G used (5923M wired, 4260M compressor), 31G unused.
2026-09-17T04:17:39Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 71G used (5958M wired, 4260M compressor), 55G unused.
2026-09-17T04:18:10Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 96G used (5934M wired, 4260M compressor), 31G unused.
2026-09-17T04:18:42Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 95G used (5558M wired, 4248M compressor), 31G unused.
2026-09-17T04:19:13Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 95G used (5264M wired, 4247M compressor), 32G unused.
2026-09-17T04:19:44Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 95G used (5509M wired, 4246M compressor), 32G unused.
2026-09-17T04:20:15Z tracked_rss_gb=16 unused_mb=99999 PhysMem: 91G used (5696M wired, 4246M compressor), 35G unused.
2026-09-17T04:20:46Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 95G used (5305M wired, 4241M compressor), 32G unused.
2026-09-17T04:21:17Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 95G used (5466M wired, 4241M compressor), 32G unused.
2026-09-17T04:21:48Z tracked_rss_gb=28 unused_mb=99999 PhysMem: 99G used (5726M wired, 4241M compressor), 28G unused.
2026-09-17T04:22:19Z tracked_rss_gb=30 unused_mb=99999 PhysMem: 101G used (5500M wired, 4234M compressor), 25G unused.
2026-09-17T04:22:50Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 99G used (5516M wired, 4235M compressor), 28G unused.
2026-09-17T04:23:21Z tracked_rss_gb=26 unused_mb=99999 PhysMem: 102G used (5723M wired, 4234M compressor), 25G unused.
2026-09-17T04:23:52Z tracked_rss_gb=31 unused_mb=99999 PhysMem: 106G used (5115M wired, 4234M compressor), 20G unused.
2026-09-17T04:24:23Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5083M wired, 4234M compressor), 23G unused.
2026-09-17T04:24:54Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 79G used (5702M wired, 4234M compressor), 47G unused.
2026-09-17T04:25:25Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5300M wired, 4234M compressor), 23G unused.
2026-09-17T04:25:56Z tracked_rss_gb=25 unused_mb=99999 PhysMem: 105G used (5095M wired, 4234M compressor), 22G unused.
2026-09-17T04:26:27Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5704M wired, 4234M compressor), 22G unused.
2026-09-17T04:26:58Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5475M wired, 4234M compressor), 23G unused.
2026-09-17T04:27:29Z tracked_rss_gb=7 unused_mb=99999 PhysMem: 91G used (5317M wired, 4234M compressor), 35G unused.
2026-09-17T04:28:00Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5714M wired, 4233M compressor), 22G unused.
2026-09-17T04:28:31Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5477M wired, 4233M compressor), 23G unused.
2026-09-17T04:29:02Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5478M wired, 4232M compressor), 23G unused.
2026-09-17T04:29:33Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5708M wired, 4232M compressor), 23G unused.
2026-09-17T04:30:04Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5492M wired, 4232M compressor), 23G unused.
2026-09-17T04:30:35Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5470M wired, 4231M compressor), 22G unused.
2026-09-17T04:31:06Z tracked_rss_gb=25 unused_mb=99999 PhysMem: 104G used (5699M wired, 4231M compressor), 22G unused.
2026-09-17T04:31:37Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5470M wired, 4231M compressor), 23G unused.
2026-09-17T04:32:08Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5469M wired, 4231M compressor), 22G unused.
2026-09-17T04:32:39Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4697M wired, 4231M compressor), 23G unused.
2026-09-17T04:33:10Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5082M wired, 4231M compressor), 23G unused.
2026-09-17T04:33:41Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5077M wired, 4230M compressor), 23G unused.
2026-09-17T04:34:12Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4688M wired, 4230M compressor), 23G unused.
2026-09-17T04:34:43Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5072M wired, 4230M compressor), 23G unused.
2026-09-17T04:35:14Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 79G used (5050M wired, 4230M compressor), 47G unused.
2026-09-17T04:35:45Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (4694M wired, 4230M compressor), 23G unused.
2026-09-17T04:36:16Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5065M wired, 4230M compressor), 23G unused.
2026-09-17T04:36:47Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5079M wired, 4230M compressor), 23G unused.
2026-09-17T04:37:18Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 79G used (5065M wired, 4229M compressor), 47G unused.
2026-09-17T04:37:48Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5074M wired, 4229M compressor), 23G unused.
2026-09-17T04:38:20Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5086M wired, 4229M compressor), 23G unused.
2026-09-17T04:38:51Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5085M wired, 4229M compressor), 23G unused.
2026-09-17T04:39:22Z tracked_rss_gb=12 unused_mb=99999 PhysMem: 96G used (5077M wired, 4229M compressor), 31G unused.
2026-09-17T04:39:52Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5078M wired, 4229M compressor), 23G unused.
2026-09-17T04:40:23Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5077M wired, 4229M compressor), 23G unused.
2026-09-17T04:40:54Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5072M wired, 4229M compressor), 23G unused.
2026-09-17T04:41:25Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 104G used (5079M wired, 4229M compressor), 23G unused.
