region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation	log10_node_density	log10_edge_node_ratio	log10_sequence_inflation	log10_max_degree	z_log10_node_density	z_log10_edge_node_ratio	z_log10_sequence_inflation	z_log10_max_degree	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason	total_reads	mapped_reads	mapping_rate	correct_reads	incorrect_reads	accuracy	sensitivity	mean_mapq	median_mapq	high_mapq_fraction	n_segdup	max_segdup_identity	max_tandem_repeat_span_bp	hazard_flag_v3	complexity_tier	pipeline_status
cand_chr21_050	chr21	13834199	13934199	100000	100000	71710	8530	10043	91950	7725535	2.35475	7.0	0.0853	1.1773739742086753	0.7171	-1.069050968832477	0.0709144315250009	-0.1444202774982821	0.9030899869919436	5.708678440431537	3.8172706840852784	-17.0411882476285	-1.1486629303507925	-2.1659755133656193	True	0.95	0.260947968	0.402704	0.734816	2.129959	0		60000.0	60000.0	1.0	59217.0	783.0	0.98695	0.98695	57.511633333333336	60.0	0.9522	41	0.9731	88.0	True	low	success
cand_chr21_165	chr21	25334199	25434199	100000	100000	100199	2029	2118	25463	920827	2.08773	6.0	0.02029	1.0438639724001972	1.00199	-1.692717952966654	0.0186439087381202	0.0008633872333321	0.8450980400142568	-2.3375851751933645	-0.8296700419476649	0.1974563060906909	-1.4485662095888368	-1.104591280159794	True	0.23	0.06012928	0.179336	0.139944	1.059863	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.8679	60.0	0.9974333333333332	3	0.9176	308.1	True	low	success
cand_chr21_238	chr21	32634199	32734199	100000	100000	99807	1927	2064	20879	896750	2.14219	6.0	0.01927	1.0710949662688116	0.99807	-1.715118285344547	0.0298279782997207	-0.0008389982440624	0.8450980400142568	-2.626583926089833	0.1646132664571102	-0.0045403753148319	-1.4485662095888368	-0.9787693111340978	True	0.42	0.09904128	0.356368	0.349464	2.161055	0		60000.0	60000.0	1.0	59765.0	235.0	0.9960833333333332	0.9960833333333332	59.2095	60.0	0.9856333333333334	0	0.0	688.8	False	low	success
cand_chr21_162	chr21	25034199	25134199	100000	100000	100128	2243	2346	35033	1011578	2.09184	7.0	0.02243	1.045920641997325	1.00128	-1.6491707264170323	0.0194987341965427	0.0005555414660992	0.9030899869919436	-1.775758954691989	-0.7536745663984873	0.1609288426040171	-1.1486629303507925	-0.8792919022093129	True	0.25	0.063455232	0.186224	0.156456	1.059615	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9672	60.0	0.9991666666666666	0	0.0	72.0	False	low	success
cand_chr21_204	chr21	29234199	29334199	100000	100000	100097	1838	1955	18428	835615	2.12731	9.0	0.01838	1.0636561479869424	1.00097	-1.7356544929499076	0.0268012546817931	0.000421061465634	1.0	-2.891532599438849	-0.1044677470223202	0.144972107675235	-0.6474962648601457	-0.8746311259115199	True	0.23	0.057802752	0.17264	0.127184	1.059615	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9616	60.0	0.999	0	0.0	117.6	False	low	success
cand_chr21_283	chr21	37134199	37234199	100000	100000	100047	2379	2519	71666	1037720	2.1177	7.0	0.02379	1.058848255569567	1.00047	-1.6236055579627338	0.0248337254608468	0.0002040704536936	0.9030899869919436	-1.4459289492657463	-0.2793845295414802	0.1192250222537424	-1.1486629303507925	-0.6886878467260691	True	0.25	0.06455296	0.189192	0.1554	1.070351	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.8491	60.0	0.9965	2	0.957	632.7	True	low	success
cand_chr21_366	chr21	45634199	45734199	100000	100000	99928	2307	2466	45662	1542236	2.13784	7.0	0.02307	1.068920676202861	0.99928	-1.6369524054789064	0.0289454777386193	-0.0003128046501624	0.9030899869919436	-1.6181238165341554	0.0861574259664863	0.057895166550409	-1.1486629303507925	-0.6556835385920131	True	0.39	0.072286208	0.201248	0.192216	1.086567	0		60000.0	60000.0	1.0	59789.0	211.0	0.9964833333333334	0.9964833333333334	58.88876666666667	60.0	0.9783	0	0.0	1826.1	True	low	success
cand_chr21_256	chr21	34434199	34534199	100000	100000	100027	2920	3031	54224	1307081	2.07603	9.0	0.0292	1.038013698630137	1.00027	-1.5346171485515816	0.0162030849192039	0.0001172436829288	1.0	-0.2978415579613523	-1.0466635404714677	0.1089225850064014	-0.6474962648601457	-0.470769694571641	True	0.28	0.071204864	0.21292	0.198992	1.070447	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.785866666666664	60.0	0.9951666666666666	1	0.9998	774.3	True	low	success
cand_chr21_270	chr21	35834199	35934199	100000	100000	100113	2204	2325	31758	992838	2.1098	15.0	0.02204	1.0549001814882033	1.00113	-1.6567884098202526	0.0232113670462253	0.0004904756979426	1.2041199826559248	-1.8740387905049647	-0.423615024802934	0.1532084588159339	0.4081029234216071	-0.4340856082675894	True	0.37	0.087556096	0.28684	0.268784	2.136287	0		60000.0	60000.0	1.0	59950.0	50.0	0.9991666666666666	0.9991666666666666	59.454633333333334	60.0	0.9898666666666668	4	0.9105	393.7	True	low	success
cand_chr21_090	chr21	17834199	17934199	100000	100000	99880	3435	3615	132767	1817755	2.1048	5.0	0.03435	1.0524017467248907	0.9988	-1.4640732586044307	0.0221815602349803	-0.0005214663206898	0.7781512503836436	0.6122831551087395	-0.5151666480884274	0.0331363997829833	-1.7947791372631832	-0.4161315576149719	True	1.95	0.18989056	7.6556	0.08728	1.055487	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.63563333333333	60.0	0.9936666666666668	0	0.0	187.2	False	low	success
cand_chr21_174	chr21	26234199	26334199	100000	100000	100172	2993	3179	64233	1319857	2.12429	6.0	0.02993	1.0621450050116938	1.00172	-1.5238932831598089	0.0261838110745814	0.0007463448361552	0.8450980400142568	-0.1594871955920309	-0.1593595615939744	0.1835686313381727	-1.4485662095888368	-0.3959610838591673	True	0.3	0.071614464	0.216568	0.194976	1.082335	0		60000.0	60000.0	1.0	59965.0	35.0	0.9994166666666666	0.9994166666666666	59.639433333333336	60.0	0.9921333333333332	1	0.9594	273.6	True	low	success
cand_chr21_123	chr21	21134199	21234199	100000	100000	100039	2825	2974	70783	1245504	2.10549	10.0	0.02825	1.0527433628318583	1.00039	-1.5489815478445426	0.022322512030478	0.0001693418284316	1.0413926851582251	-0.4831644086678341	-0.5026357874047441	0.1151042945185497	-0.4334354743128643	-0.3260328439667231	True	0.27	0.070418432	0.208688	0.191472	1.070103	0		60000.0	60000.0	1.0	59997.0	3.0	0.99995	0.99995	59.76023333333333	60.0	0.9948	0	0.0	322.4	False	low	success
cand_chr21_210	chr21	29834199	29934199	100000	100000	100340	2931	3102	67334	1300385	2.11668	8.0	0.02931	1.0583418628454453	1.0034	-1.5329841815615646	0.0246259750391506	0.0014740966917327	0.9542425094393248	-0.2767737714477989	-0.2978539047066487	0.2699200844405194	-0.8841294904031747	-0.2972092705292757	True	0.32	0.0729088	0.217816	0.232824	1.086495	0		60000.0	59983.0	0.9997166666666668	59948.0	35.0	0.999416501342047	0.9991333333333332	59.34818198489572	60.0	0.9871463581348048	0	0.0	254.6	False	low	success
cand_chr21_163	chr21	25134199	25234199	100000	100000	100685	2808	2978	45677	1261429	2.12108	8.0	0.02808	1.0605413105413106	1.00685	-1.5516028965422324	0.0255275899583897	0.0029647744020615	0.9542425094393248	-0.5169838398493146	-0.2176987644090571	0.4467965642566248	-0.8841294904031747	-0.2930038826012304	True	0.28	0.069828608	0.206792	0.191256	1.067919	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.62246666666667	60.0	0.993	0	0.0	55.2	False	low	success
cand_chr21_127	chr21	21534199	21634199	100000	100000	100178	3346	3483	63730	1492695	2.08189	8.0	0.03346	1.0409444112372983	1.00178	-1.4754740633736243	0.0174275378318605	0.0007723569838188	0.9542425094393248	0.4651952332900829	-0.9378075389707164	0.1866551047450708	-0.8841294904031747	-0.2925216728346843	True	0.29	0.081149952	0.223552	0.2122	2.109303	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.91373333333333	60.0	0.9982333333333332	0	0.0	133.0	False	low	success
