region_id	window_size	total_reads	mapped_reads	mapping_rate	correct_reads	incorrect_reads	accuracy	sensitivity	mean_mapq	median_mapq	high_mapq_fraction
cand_chr21_017	100000	60000	60000	1.0	60000	0	1.0	1.0	59.909666666666666	60.0	0.9965666666666668
cand_chr21_346	100000	60000	60000	1.0	59987	13	0.9997833333333334	0.9997833333333334	59.2683	60.0	0.9852
cand_chr21_274	100000	60000	60000	1.0	59984	16	0.9997333333333334	0.9997333333333334	59.3249	60.0	0.9875333333333334
cand_chr21_330	100000	60000	60000	1.0	59735	265	0.9955833333333334	0.9955833333333334	58.222833333333334	60.0	0.9668333333333332
cand_chr21_050	100000	60000	60000	1.0	59217	783	0.98695	0.98695	57.511633333333336	60.0	0.9522
cand_chr21_287	100000	60000	60000	1.0	59992	8	0.9998666666666668	0.9998666666666668	59.665033333333334	60.0	0.9924333333333332
cand_chr21_093	100000	60000	60000	1.0	60000	0	1.0	1.0	59.91296666666667	60.0	0.9977
cand_chr21_256	100000	60000	60000	1.0	60000	0	1.0	1.0	59.785866666666664	60.0	0.9951666666666666
cand_chr21_123	100000	60000	60000	1.0	59997	3	0.99995	0.99995	59.76023333333333	60.0	0.9948
cand_chr21_096	100000	60000	60000	1.0	60000	0	1.0	1.0	59.6702	60.0	0.9932333333333332
cand_chr21_137	100000	60000	60000	1.0	60000	0	1.0	1.0	59.9035	60.0	0.9976
cand_chr21_138	100000	60000	60000	1.0	59994	6	0.9999	0.9999	59.3101	60.0	0.9861333333333332
cand_chr21_358	100000	60000	59995	0.9999166666666668	59556	439	0.9926827235602969	0.9926	57.562280190015834	60.0	0.9543795316276356
cand_chr21_347	100000	60000	59999	0.9999833333333332	59865	134	0.997766629443824	0.99775	58.50692511541859	60.0	0.9704828413806896
cand_chr21_165	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.8679	60.0	0.9974333333333332
cand_chr21_352	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.5477	60.0	0.9909333333333332
cand_chr21_238	100000	60000	60000	1.0	59765	235	0.9960833333333332	0.9960833333333332	59.2095	60.0	0.9856333333333334
cand_chr21_163	100000	60000	60000	1.0	60000	0	1.0	1.0	59.62246666666667	60.0	0.993
cand_chr21_061	100000	60000	60000	1.0	59940	60	0.999	0.999	59.15593333333333	60.0	0.9844666666666668
cand_chr21_263	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.637	60.0	0.9923
cand_chr21_052	100000	60000	59929	0.9988166666666668	59894	35	0.9994159755710924	0.9982333333333332	59.07585643010896	60.0	0.9814113367484856
cand_chr21_081	100000	60000	59987	0.9997833333333334	59734	253	0.9957824195242304	0.9955666666666668	58.40580459099471	60.0	0.9719772617400436
cand_chr21_162	100000	60000	60000	1.0	60000	0	1.0	1.0	59.9672	60.0	0.9991666666666666
cand_chr21_210	100000	60000	59983	0.9997166666666668	59948	35	0.999416501342047	0.9991333333333332	59.34818198489572	60.0	0.9871463581348048
cand_chr21_106	100000	60000	60000	1.0	59998	2	0.9999666666666668	0.9999666666666668	59.612966666666665	60.0	0.9924333333333332
cand_chr21_283	100000	60000	60000	1.0	60000	0	1.0	1.0	59.8491	60.0	0.9965
cand_chr21_246	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.7749	60.0	0.9958333333333332
cand_chr21_177	100000	60000	60000	1.0	59994	6	0.9999	0.9999	59.76583333333333	60.0	0.9949
cand_chr21_071	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.618833333333335	60.0	0.9913333333333332
cand_chr21_088	100000	60000	60000	1.0	59937	63	0.99895	0.99895	59.33233333333333	60.0	0.9848333333333332
cand_chr21_204	100000	60000	60000	1.0	60000	0	1.0	1.0	59.9616	60.0	0.999
cand_chr21_090	100000	60000	60000	1.0	60000	0	1.0	1.0	59.63563333333333	60.0	0.9936666666666668
cand_chr21_127	100000	60000	60000	1.0	60000	0	1.0	1.0	59.91373333333333	60.0	0.9982333333333332
cand_chr21_184	100000	60000	60000	1.0	59998	2	0.9999666666666668	0.9999666666666668	59.87206666666667	60.0	0.9971333333333332
cand_chr21_157	100000	60000	60000	1.0	59968	32	0.9994666666666666	0.9994666666666666	59.8151	60.0	0.9962
cand_chr21_366	100000	60000	60000	1.0	59789	211	0.9964833333333334	0.9964833333333334	58.88876666666667	60.0	0.9783
cand_chr21_270	100000	60000	60000	1.0	59950	50	0.9991666666666666	0.9991666666666666	59.454633333333334	60.0	0.9898666666666668
cand_chr21_174	100000	60000	60000	1.0	59965	35	0.9994166666666666	0.9994166666666666	59.639433333333336	60.0	0.9921333333333332
cand_chr21_047	100000	60000	60000	1.0	59996	4	0.9999333333333332	0.9999333333333332	59.87586666666667	60.0	0.9972333333333332
cand_chr21_043	100000	60000	60000	1.0	59998	2	0.9999666666666668	0.9999666666666668	59.39606666666667	60.0	0.9873
cand_chr21_294	100000	60000	60000	1.0	59999	1	0.9999833333333332	0.9999833333333332	59.61363333333333	60.0	0.9915333333333334
cand_chr21_332	100000	60000	60000	1.0	59721	279	0.99535	0.99535	58.34793333333333	60.0	0.9682
cand_chr21_116	100000	60000	60000	1.0	59983	17	0.9997166666666668	0.9997166666666668	59.6726	60.0	0.9931666666666666
cand_chr21_243	100000	60000	60000	1.0	59971	29	0.9995166666666668	0.9995166666666668	59.25373333333334	60.0	0.9831666666666666
cand_chr21_195	100000	60000	60000	1.0	59998	2	0.9999666666666668	0.9999666666666668	59.4472	60.0	0.9887
cand_chr21_191	100000	60000	60000	1.0	60000	0	1.0	1.0	59.9113	60.0	0.9976333333333334
cand_chr21_237	100000	60000	60000	1.0	59997	3	0.99995	0.99995	59.47186666666666	60.0	0.9901666666666666
cand_chr21_192	100000	60000	60000	1.0	59992	8	0.9998666666666668	0.9998666666666668	59.419666666666664	60.0	0.9879333333333332
cand_chr21_145	100000	60000	60000	1.0	59755	245	0.9959166666666667	0.9959166666666667	59.00213333333333	60.0	0.9816666666666667
