region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation	log10_node_density	log10_edge_node_ratio	log10_sequence_inflation	log10_max_degree	z_log10_node_density	z_log10_edge_node_ratio	z_log10_sequence_inflation	z_log10_max_degree	complexity_score
cand_chr21_050	chr21	13834199	13934199	100000	100000	71710	8530	10043	91950	7725535	2.35475	7.0	0.0853	1.1773739742086753	0.7171	-1.069050968832477	0.07091443152500096	-0.14442027749828215	0.9030899869919435	5.708678440431537	3.8172706840852784	-17.0411882476285	-1.1486629303507925	-2.1659755133656193
cand_chr21_165	chr21	25334199	25434199	100000	100000	100199	2029	2118	25463	920827	2.08773	6.0	0.02029	1.0438639724001972	1.00199	-1.692717952966654	0.01864390873812025	0.0008633872333321164	0.8450980400142568	-2.3375851751933645	-0.8296700419476649	0.19745630609069093	-1.4485662095888368	-1.104591280159794
cand_chr21_238	chr21	32634199	32734199	100000	100000	99807	1927	2064	20879	896750	2.14219	6.0	0.01927	1.0710949662688116	0.99807	-1.715118285344547	0.029827978299720784	-0.000838998244062462	0.8450980400142568	-2.626583926089833	0.1646132664571102	-0.004540375314831989	-1.4485662095888368	-0.9787693111340978
cand_chr21_162	chr21	25034199	25134199	100000	100000	100128	2243	2346	35033	1011578	2.09184	7.0	0.02243	1.045920641997325	1.00128	-1.6491707264170323	0.019498734196542713	0.0005555414660992597	0.9030899869919435	-1.775758954691989	-0.7536745663984873	0.16092884260401719	-1.1486629303507925	-0.8792919022093129
cand_chr21_204	chr21	29234199	29334199	100000	100000	100097	1838	1955	18428	835615	2.12731	9.0	0.01838	1.0636561479869424	1.00097	-1.7356544929499076	0.026801254681793188	0.0004210614656340105	1.0	-2.891532599438849	-0.10446774702232023	0.14497210767523505	-0.6474962648601457	-0.8746311259115199
cand_chr21_133	chr21	22134199	22234199	100000	100000	100085	2667	2781	38609	1208285	2.08549	5.0	0.02667	1.042744656917885	1.00085	-1.573976984310124	0.018177973174283314	0.000368993509583246	0.7781512503836436	-0.8056439948990681	-0.8710925269709908	0.13879398029487247	-1.7947791372631832	-0.8331804197095924
cand_chr21_249	chr21	33734199	33834199	100000	100000	100196	2270	2384	35560	1045943	2.10044	7.0	0.0227	1.0502202643171803	1.00196	-1.6439741428068773	0.021280393875075968	0.0008503840801016867	0.9030899869919435	-1.7087150311051222	-0.595281910678102	0.19591341593142209	-1.1486629303507925	-0.8141866140506486
cand_chr21_254	chr21	34234199	34334199	100000	100000	100057	2487	2563	40548	1120716	2.06112	9.0	0.02487	1.0305589063128269	1.00057	-1.604324214730064	0.013072820914308095	0.00024747733034422763	1.0	-1.1971699569506615	-1.3249494751060542	0.12437546858333773	-0.6474962648601457	-0.761310057083381
cand_chr21_063	chr21	15134199	15234199	100000	100000	100035	2748	2853	42485	1210543	2.07642	6.0	0.02748	1.0382096069868996	1.00035	-1.5609832716124872	0.01628504326956355	0.00015197647433431617	0.8450980400142568	-0.6380051100925824	-1.039377300047255	0.11304380707567933	-1.4485662095888368	-0.7532262031632486
cand_chr21_257	chr21	34534199	34634199	100000	100000	100095	2961	3066	69842	1308882	2.07092	5.0	0.02961	1.0354609929078014	1.00095	-1.5285615926107008	0.01513374312905717	0.0004123839064525102	0.7781512503836436	-0.21971556976729437	-1.1417298923987773	0.14394247121472806	-1.7947791372631832	-0.7530705320536317
cand_chr21_218	chr21	30634199	30734199	100000	100000	100176	2659	2776	75952	1161668	2.088	6.0	0.02659	1.0440015043249342	1.00176	-1.575281662668433	0.018701124451250276	0.0007636864410412427	0.8450980400142568	-0.8224763529869813	-0.8245834651671535	0.18562630081651532	-1.4485662095888368	-0.727499931731614
cand_chr21_324	chr21	41234199	41334199	100000	100000	100088	2586	2693	48976	1162188	2.08275	7.0	0.02586	1.0413766434648106	1.00088	-1.5873714794556248	0.017607832867135246	0.00038201108383957626	0.9030899869919435	-0.9784535898923499	-0.9217789955881415	0.14033858158209273	-1.1486629303507925	-0.7271392335622977
cand_chr21_293	chr21	38134199	38234199	100000	100000	100112	2713	2836	56997	1201486	2.09067	6.0	0.02713	1.0453372650202728	1.00112	-1.5665502062384038	0.019256432749432843	0.00048613763344606615	0.8450980400142568	-0.7098271315729411	-0.7752155880397358	0.15269372543523982	-1.4485662095888368	-0.6952288009415685
cand_chr21_211	chr21	29934199	30034199	100000	100000	100066	2555	2676	42744	1147373	2.09472	7.0	0.02555	1.047358121330724	1.00066	-1.5926090955292684	0.020095204625053903	0.00028653981031675135	0.9030899869919435	-1.046026895387232	-0.7006473040268423	0.12901043018674352	-1.1486629303507925	-0.6915816748945307
cand_chr21_283	chr21	37134199	37234199	100000	100000	100047	2379	2519	71666	1037720	2.1177	7.0	0.02379	1.058848255569567	1.00047	-1.6236055579627338	0.024833725460846806	0.0002040704536936119	0.9030899869919435	-1.4459289492657463	-0.27938452954148024	0.11922502225374243	-1.1486629303507925	-0.6886878467260691
cand_chr21_180	chr21	26834199	26934199	100000	100000	100337	2644	2769	51283	1175476	2.09455	6.0	0.02644	1.0472768532526475	1.00337	-1.5777385491863973	0.020061504931971872	0.0014611118110956268	0.8450980400142568	-0.8541739690226621	-0.7036432655724384	0.26837936241723515	-1.4485662095888368	-0.6845010204416755
cand_chr21_164	chr21	25234199	25334199	100000	100000	100313	2381	2502	52180	1057231	2.10164	8.0	0.02381	1.0508189836203277	1.00313	-1.6232406045951202	0.021527909952521317	0.0013572187872692035	0.9542425094393249	-1.44122048933772	-0.5732772992966869	0.2560519275837093	-0.8841294904031747	-0.6606438378634681
cand_chr21_196	chr21	28434199	28534199	100000	100000	100042	2676	2794	74394	1172637	2.08819	7.0	0.02676	1.0440956651718984	1.00042	-1.5725138909042145	0.018740292682377636	0.00018236538834805882	0.9030899869919435	-0.7867678389733648	-0.8211013410427306	0.11664960603473086	-1.1486629303507925	-0.6599706260830392
cand_chr21_366	chr21	45634199	45734199	100000	100000	99928	2307	2466	45662	1542236	2.13784	7.0	0.02307	1.068920676202861	0.99928	-1.6369524054789064	0.02894547773861938	-0.0003128046501624511	0.9030899869919435	-1.6181238165341554	0.08615742596648633	0.05789516655040909	-1.1486629303507925	-0.6556835385920131
cand_chr21_241	chr21	32934199	33034199	100000	100000	100194	2637	2760	57995	1170013	2.09329	7.0	0.02637	1.0466439135381116	1.00194	-1.5788898702065657	0.019798952271783417	0.0008417150949843516	0.9030899869919435	-0.8690277815061712	-0.7269846554095464	0.1948847968271664	-1.1486629303507925	-0.6374476426098359
cand_chr21_089	chr21	17734199	17834199	100000	100000	100166	3025	3143	130214	1589980	2.07802	6.0	0.03025	1.03900826446281	1.00166	-1.5192746210115122	0.01661900202909236	0.0007203311303960578	0.8450980400142568	-0.09989934800331499	-1.0096877833229385	0.1804819730553105	-1.4485662095888368	-0.594417841964945
cand_chr21_194	chr21	28234199	28334199	100000	100000	100072	2289	2416	36505	1031173	2.11097	10.0	0.02289	1.055482743556138	1.00072	-1.6403542073254571	0.023451137274551302	0.0003125795118446765	1.0413926851582251	-1.6620122940739215	-0.4022990329303989	0.13210017299956478	-0.43343547431286433	-0.591411657079405
cand_chr21_350	chr21	44034199	44134199	100000	100000	100149	2632	2754	53486	1170508	2.09271	8.0	0.02632	1.046352583586626	1.00149	-1.5797141150580822	0.01967805097898697	0.0006466171677863651	0.9542425094393249	-0.8796618082028561	-0.737732991400302	0.17173543708086295	-0.8841294904031747	-0.5824472132313674
cand_chr21_198	chr21	28634199	28734199	100000	100000	100057	2671	2798	81291	1162809	2.0951	8.0	0.02671	1.0475477349307376	1.00057	-1.573326111978627	0.020173822134436005	0.00024747733034422763	0.9542425094393249	-0.7972467404466609	-0.6936580701977393	0.12437546858333773	-0.8841294904031747	-0.5626647081160592
cand_chr21_132	chr21	22034199	22134199	100000	100000	100078	2598	2733	35193	1176292	2.10393	8.0	0.02598	1.0519630484988454	1.00078	-1.585360853262991	0.022000484955651652	0.0003386176521614175	0.9542425094393249	-0.9525134186311255	-0.5312645565295019	0.1351897305667514	-0.8841294904031747	-0.5581794337492627
cand_chr21_240	chr21	32834199	32934199	100000	100000	100266	2126	2260	42910	942214	2.12606	11.0	0.02126	1.0630291627469426	1.00266	-1.672436739812722	0.026545178960122956	0.00115368959405323	1.0791812460476249	-2.0759263225802718	-0.12723332571816495	0.23190215531139738	-0.23801328349078352	-0.5523176941194556
cand_chr21_062	chr21	15034199	15134199	100000	100000	100135	2541	2665	50023	1128368	2.0976	9.0	0.02541	1.0487996851633214	1.00135	-1.5949953349496306	0.020692548312221688	0.0005859021555382623	1.0	-1.0768130551723065	-0.6475424074361512	0.16453129257395477	-0.6474962648601457	-0.5518301087236621
cand_chr21_298	chr21	38634199	38734199	100000	100000	100048	2773	2894	55028	1236860	2.08727	8.0	0.02773	1.0436350522899387	1.00048	-1.5570501304221382	0.01854865720515701	0.0002084113365933317	0.9542425094393249	-0.5872615375448786	-0.838138069511664	0.11974009005228552	-0.8841294904031747	-0.5474472518518579
cand_chr21_242	chr21	33034199	33134199	100000	100000	100142	2546	2687	51667	1134743	2.11076	8.0	0.02546	1.0553809897879023	1.00142	-1.5941416006823634	0.02340926711553174	0.0006162607226684003	0.9542425094393249	-1.0657985696425636	-0.40602136316127824	0.16813349072116868	-0.8841294904031747	-0.5469539831214619
cand_chr21_325	chr21	41334199	41434199	100000	100000	100189	2851	2980	52049	1283359	2.09049	7.0	0.02851	1.0452472816555594	1.00189	-1.54500278269054	0.019219046766795204	0.0008200418751007137	0.9030899869919435	-0.4318322167958975	-0.778539267162096	0.19231315923391853	-1.1486629303507925	-0.541680313768717
cand_chr21_295	chr21	38334199	38434199	100000	100000	100048	2648	2786	54692	1170315	2.10423	8.0	0.02648	1.0521148036253776	1.00048	-1.5770820192323376	0.02206313132028232	0.0002084113365933317	0.9542425094393249	-0.845703722534863	-0.5256951853501259	0.11974009005228552	-0.8841294904031747	-0.5339470770589696
cand_chr21_292	chr21	38034199	38134199	100000	100000	100080	2501	2645	44013	1121656	2.11515	9.0	0.02501	1.0575769692123151	1.0008	-1.6018863082694974	0.024311984640702063	0.00034729668536350247	1.0	-1.165717212856493	-0.3257681992715438	0.1362195419272857	-0.6474962648601457	-0.5006905337652242
cand_chr21_154	chr21	24234199	24334199	100000	100000	100079	2727	2870	62817	1209513	2.10488	8.0	0.02727	1.0524385771910525	1.00079	-1.5643148620583702	0.02219675879236246	0.0003429571904429636	0.9542425094393249	-0.6809877525425234	-0.5138154698045626	0.1357046388195204	-0.8841294904031747	-0.48580701848268504
cand_chr21_128	chr21	21634199	21734199	100000	100000	100108	3292	3423	72240	1464640	2.07959	6.0	0.03292	1.0397934386391252	1.00108	-1.4825401734597679	0.01694707259764487	0.00046878494212805735	0.8450980400142568	0.374031541870585	-0.9805217370556132	0.15063474049543832	-1.4485662095888368	-0.47610541606960666
