region_id	chrom	start	end	window_size	n_fraction
cand_chr21_000	chr21	5034199	5134199	100000	0.0
cand_chr21_001	chr21	5234199	5334199	100000	0.0
cand_chr21_003	chr21	6234199	6334199	100000	0.0
cand_chr21_004	chr21	6434199	6534199	100000	0.0
cand_chr21_005	chr21	6634199	6734199	100000	0.0
cand_chr21_006	chr21	6834199	6934199	100000	0.0
cand_chr21_007	chr21	7034199	7134199	100000	0.0
cand_chr21_009	chr21	8134199	8234199	100000	1e-05
cand_chr21_010	chr21	8334199	8434199	100000	0.0
cand_chr21_012	chr21	9034199	9134199	100000	0.0
cand_chr21_013	chr21	9534199	9634199	100000	0.0
cand_chr21_014	chr21	9634199	9734199	100000	0.0
cand_chr21_015	chr21	9734199	9834199	100000	0.0
cand_chr21_016	chr21	9834199	9934199	100000	0.0
cand_chr21_017	chr21	9934199	10034199	100000	0.0
cand_chr21_018	chr21	10034199	10134199	100000	0.0
cand_chr21_019	chr21	10334199	10434199	100000	0.0
cand_chr21_020	chr21	10434199	10534199	100000	0.0
cand_chr21_021	chr21	10534199	10634199	100000	0.0
cand_chr21_022	chr21	10634199	10734199	100000	0.0
cand_chr21_042	chr21	13034199	13134199	100000	0.0
cand_chr21_043	chr21	13134199	13234199	100000	0.0
cand_chr21_044	chr21	13234199	13334199	100000	0.0
cand_chr21_045	chr21	13334199	13434199	100000	0.0
cand_chr21_046	chr21	13434199	13534199	100000	0.0
cand_chr21_047	chr21	13534199	13634199	100000	0.0
cand_chr21_048	chr21	13634199	13734199	100000	0.0
cand_chr21_049	chr21	13734199	13834199	100000	0.0
cand_chr21_050	chr21	13834199	13934199	100000	0.0
cand_chr21_051	chr21	13934199	14034199	100000	0.0
cand_chr21_052	chr21	14034199	14134199	100000	0.0
cand_chr21_053	chr21	14134199	14234199	100000	0.0
cand_chr21_054	chr21	14234199	14334199	100000	0.0
cand_chr21_055	chr21	14334199	14434199	100000	0.0
cand_chr21_056	chr21	14434199	14534199	100000	0.0
cand_chr21_057	chr21	14534199	14634199	100000	0.0
cand_chr21_058	chr21	14634199	14734199	100000	0.0
cand_chr21_059	chr21	14734199	14834199	100000	0.0
cand_chr21_060	chr21	14834199	14934199	100000	0.0
cand_chr21_061	chr21	14934199	15034199	100000	0.0
cand_chr21_062	chr21	15034199	15134199	100000	0.0
cand_chr21_063	chr21	15134199	15234199	100000	0.0
cand_chr21_064	chr21	15234199	15334199	100000	0.0
cand_chr21_065	chr21	15334199	15434199	100000	0.0
cand_chr21_066	chr21	15434199	15534199	100000	0.0
cand_chr21_067	chr21	15534199	15634199	100000	0.0
cand_chr21_068	chr21	15634199	15734199	100000	0.0
cand_chr21_069	chr21	15734199	15834199	100000	0.0
cand_chr21_070	chr21	15834199	15934199	100000	0.0
cand_chr21_071	chr21	15934199	16034199	100000	0.0
cand_chr21_072	chr21	16034199	16134199	100000	0.0
