region_id	chrom	start	end
cand_chr21_050	chr21	13834199	13934199
cand_chr21_165	chr21	25334199	25434199
cand_chr21_238	chr21	32634199	32734199
cand_chr21_162	chr21	25034199	25134199
cand_chr21_204	chr21	29234199	29334199
cand_chr21_283	chr21	37134199	37234199
cand_chr21_366	chr21	45634199	45734199
cand_chr21_256	chr21	34434199	34534199
cand_chr21_270	chr21	35834199	35934199
cand_chr21_090	chr21	17834199	17934199
cand_chr21_174	chr21	26234199	26334199
cand_chr21_123	chr21	21134199	21234199
cand_chr21_210	chr21	29834199	29934199
cand_chr21_163	chr21	25134199	25234199
cand_chr21_127	chr21	21534199	21634199
cand_chr21_047	chr21	13534199	13634199
cand_chr21_093	chr21	18134199	18234199
cand_chr21_184	chr21	27234199	27334199
cand_chr21_096	chr21	18434199	18534199
cand_chr21_157	chr21	24534199	24634199
cand_chr21_043	chr21	13134199	13234199
cand_chr21_246	chr21	33434199	33534199
cand_chr21_352	chr21	44234199	44334199
cand_chr21_106	chr21	19434199	19534199
cand_chr21_061	chr21	14934199	15034199
cand_chr21_263	chr21	35134199	35234199
cand_chr21_177	chr21	26534199	26634199
cand_chr21_294	chr21	38234199	38334199
cand_chr21_071	chr21	15934199	16034199
cand_chr21_191	chr21	27934199	28034199
cand_chr21_137	chr21	22534199	22634199
cand_chr21_332	chr21	42034199	42134199
cand_chr21_237	chr21	32534199	32634199
cand_chr21_287	chr21	37534199	37634199
cand_chr21_116	chr21	20434199	20534199
cand_chr21_000	chr21	5034199	5134199
cand_chr21_138	chr21	22634199	22734199
cand_chr21_088	chr21	17634199	17734199
cand_chr21_192	chr21	28034199	28134199
cand_chr21_243	chr21	33134199	33234199
cand_chr21_052	chr21	14034199	14134199
cand_chr21_358	chr21	44834199	44934199
cand_chr21_145	chr21	23334199	23434199
cand_chr21_330	chr21	41834199	41934199
cand_chr21_046	chr21	13434199	13534199
cand_chr21_244	chr21	33234199	33334199
cand_chr21_195	chr21	28334199	28434199
cand_chr21_313	chr21	40134199	40234199
cand_chr21_081	chr21	16934199	17034199
cand_chr21_347	chr21	43734199	43834199
