region_id	start	end	complexity_score	n_segdup	max_segdup_identity	n_large_tandem_repeat	max_tandem_repeat_span_bp	hazard_flag	score_tier	hazard_flag_v3	complexity_tier
cand_chr21_050	13834199	13934199	-2.1659755133656193	41	0.9731	0	88.0	True	low	True	low
cand_chr21_165	25334199	25434199	-1.104591280159794	3	0.9176	0	308.1	True	low	True	low
cand_chr21_238	32634199	32734199	-0.9787693111340978	0	0.0	1	688.8	True	low	False	low
cand_chr21_162	25034199	25134199	-0.8792919022093129	0	0.0	0	72.0	False	low	False	low
cand_chr21_204	29234199	29334199	-0.8746311259115199	0	0.0	0	117.6	False	low	False	low
cand_chr21_133	22134199	22234199	-0.8331804197095924	0	0.0	2	649.6	True	low	False	low
cand_chr21_249	33734199	33834199	-0.8141866140506486	0	0.0	0	321.1	False	low	False	low
cand_chr21_254	34234199	34334199	-0.761310057083381	0	0.0	0	79.8	False	low	False	low
cand_chr21_063	15134199	15234199	-0.7532262031632486	0	0.0	0	229.6	False	low	False	low
cand_chr21_257	34534199	34634199	-0.7530705320536317	0	0.0	0	100.0	False	low	False	low
cand_chr21_218	30634199	30734199	-0.727499931731614	0	0.0	0	212.8	False	low	False	low
cand_chr21_324	41234199	41334199	-0.7271392335622977	0	0.0	0	333.7	False	low	False	low
cand_chr21_293	38134199	38234199	-0.6952288009415685	0	0.0	2	600.0	True	low	False	low
cand_chr21_211	29934199	30034199	-0.6915816748945307	0	0.0	0	283.1	False	low	False	low
cand_chr21_283	37134199	37234199	-0.6886878467260691	2	0.957	2	632.7	True	low	True	low
cand_chr21_180	26834199	26934199	-0.6845010204416755	0	0.0	0	347.7	False	low	False	low
cand_chr21_164	25234199	25334199	-0.6606438378634681	0	0.0	0	122.0	False	low	False	low
cand_chr21_196	28434199	28534199	-0.6599706260830392	0	0.0	0	262.0	False	low	False	low
cand_chr21_366	45634199	45734199	-0.6556835385920131	0	0.0	5	1826.1	True	low	True	low
cand_chr21_241	32934199	33034199	-0.6374476426098359	0	0.0	0	196.2	False	low	False	low
cand_chr21_089	17734199	17834199	-0.594417841964945	0	0.0	0	168.1	False	low	False	low
cand_chr21_194	28234199	28334199	-0.591411657079405	0	0.0	0	107.8	False	low	False	low
cand_chr21_350	44034199	44134199	-0.5824472132313674	1	0.9984	2	532.0	True	low	True	low
cand_chr21_198	28634199	28734199	-0.5626647081160592	0	0.0	1	516.0	True	low	False	low
cand_chr21_132	22034199	22134199	-0.5581794337492627	0	0.0	0	200.0	False	low	False	low
cand_chr21_240	32834199	32934199	-0.5523176941194556	0	0.0	0	340.8	False	low	False	low
cand_chr21_062	15034199	15134199	-0.5518301087236621	0	0.0	0	120.7	False	low	False	low
cand_chr21_298	38634199	38734199	-0.5474472518518579	0	0.0	0	244.0	False	low	False	low
cand_chr21_242	33034199	33134199	-0.5469539831214619	0	0.0	0	246.6	False	low	False	low
cand_chr21_325	41334199	41434199	-0.541680313768717	0	0.0	0	271.4	False	low	False	low
cand_chr21_295	38334199	38434199	-0.5339470770589696	0	0.0	0	372.0	False	low	False	low
cand_chr21_292	38034199	38134199	-0.5006905337652242	0	0.0	4	740.0	True	low	False	low
cand_chr21_154	24234199	24334199	-0.485807018482685	0	0.0	0	424.0	False	low	False	low
cand_chr21_128	21634199	21734199	-0.4761054160696066	0	0.0	0	95.2	False	low	False	low
cand_chr21_055	14334199	14434199	-0.4718707254642905	0	0.0	0	140.8	False	low	False	low
cand_chr21_095	18334199	18434199	-0.4714028434638965	0	0.0	0	275.0	False	low	False	low
cand_chr21_256	34434199	34534199	-0.470769694571641	1	0.9998	1	774.3	True	low	True	low
cand_chr21_323	41134199	41234199	-0.4686110677882947	0	0.0	2	547.8	True	low	False	low
cand_chr21_140	22834199	22934199	-0.4609601882497795	0	0.0	0	89.1	False	low	False	low
cand_chr21_268	35634199	35734199	-0.4414080049420286	1	0.915	0	364.0	True	low	True	low
cand_chr21_065	15334199	15434199	-0.437426867202365	0	0.0	1	635.8	True	low	False	low
cand_chr21_239	32734199	32834199	-0.4346153516087623	0	0.0	0	351.5	False	low	False	low
cand_chr21_270	35834199	35934199	-0.4340856082675894	4	0.9105	0	393.7	True	low	True	low
cand_chr21_066	15434199	15534199	-0.4281775632646422	0	0.0	0	202.0	False	low	False	low
cand_chr21_090	17834199	17934199	-0.4161315576149719	0	0.0	0	187.2	False	low	False	low
cand_chr21_321	40934199	41034199	-0.4093644441910229	0	0.0	2	1682.0	True	low	True	low
cand_chr21_279	36734199	36834199	-0.4061082805996823	0	0.0	0	188.5	False	low	False	low
cand_chr21_044	13234199	13334199	-0.4045651793996465	7	0.9814	0	264.0	True	low	True	low
cand_chr21_110	19834199	19934199	-0.4020173951502009	0	0.0	0	102.0	False	low	False	low
cand_chr21_176	26434199	26534199	-0.4000650027755248	0	0.0	0	83.2	False	low	False	low
cand_chr21_174	26234199	26334199	-0.3959610838591673	1	0.9594	0	273.6	True	low	True	low
cand_chr21_220	30834199	30934199	-0.3843040818052634	0	0.0	0	348.0	False	low	False	low
cand_chr21_103	19134199	19234199	-0.3751163353304947	0	0.0	0	152.0	False	low	False	low
cand_chr21_285	37334199	37434199	-0.3738417955852882	0	0.0	0	270.0	False	low	False	low
cand_chr21_302	39034199	39134199	-0.3701600886375505	0	0.0	0	296.0	False	low	False	low
cand_chr21_253	34134199	34234199	-0.3616255775343037	0	0.0	0	124.0	False	low	False	low
cand_chr21_216	30434199	30534199	-0.3596381745300696	0	0.0	0	174.0	False	low	False	low
cand_chr21_296	38434199	38534199	-0.3594836430536553	0	0.0	0	230.0	False	low	False	low
cand_chr21_259	34734199	34834199	-0.3588223599604696	0	0.0	0	353.6	False	low	False	low
cand_chr21_053	14134199	14234199	-0.3583927566290374	0	0.0	0	350.9	False	low	False	low
cand_chr21_286	37434199	37534199	-0.3519597748561904	0	0.0	0	156.0	False	low	False	low
cand_chr21_310	39834199	39934199	-0.3500740694578551	0	0.0	5	887.0	True	low	False	low
cand_chr21_099	18734199	18834199	-0.3388074217878595	0	0.0	0	131.1	False	low	False	low
cand_chr21_166	25434199	25534199	-0.3387781235305778	0	0.0	0	115.2	False	low	False	low
cand_chr21_248	33634199	33734199	-0.3387351795426195	0	0.0	1	899.0	True	low	False	low
cand_chr21_277	36534199	36634199	-0.3384152894802726	0	0.0	2	541.2	True	low	False	low
