region_id	start	end	n_distinct_haplotypes
cand_chr21_017	9934199	10034199	19
cand_chr21_015	9734199	9834199	20
cand_chr21_018	10034199	10134199	22
cand_chr21_014	9634199	9734199	18
cand_chr21_016	9834199	9934199	18
cand_chr21_013	9534199	9634199	16
cand_chr21_021	10534199	10634199	430
cand_chr21_005	6634199	6734199	97
cand_chr21_003	6234199	6334199	97
cand_chr21_007	7034199	7134199	98
cand_chr21_020	10434199	10534199	433
cand_chr21_019	10334199	10434199	433
cand_chr21_004	6434199	6534199	128
cand_chr21_022	10634199	10734199	430
cand_chr21_001	5234199	5334199	423
cand_chr21_006	6834199	6934199	128
cand_chr21_012	9034199	9134199	398
cand_chr21_009	8134199	8234199	432
cand_chr21_010	8334199	8434199	432
