region_id	window_size	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason
cand_chr21_050	100000	-2.1659755133656193	True	0.95	0.260947968	0.402704	0.734816	2.129959	0	
cand_chr21_165	100000	-1.104591280159794	True	0.23	0.06012928	0.179336	0.139944	1.059863	0	
cand_chr21_238	100000	-0.9787693111340978	True	0.42	0.09904128	0.356368	0.349464	2.161055	0	
cand_chr21_162	100000	-0.8792919022093129	True	0.25	0.063455232	0.186224	0.156456	1.059615	0	
cand_chr21_204	100000	-0.8746311259115199	True	0.23	0.057802752	0.17264	0.127184	1.059615	0	
cand_chr21_283	100000	-0.6886878467260691	True	0.25	0.06455296	0.189192	0.1554	1.070351	0	
cand_chr21_366	100000	-0.6556835385920131	True	0.39	0.072286208	0.201248	0.192216	1.086567	0	
cand_chr21_256	100000	-0.470769694571641	True	0.28	0.071204864	0.21292	0.198992	1.070447	0	
cand_chr21_270	100000	-0.4340856082675894	True	0.37	0.087556096	0.28684	0.268784	2.136287	0	
cand_chr21_090	100000	-0.4161315576149719	True	1.95	0.18989056	7.6556	0.08728	1.055487	0	
cand_chr21_174	100000	-0.3959610838591673	True	0.3	0.071614464	0.216568	0.194976	1.082335	0	
cand_chr21_123	100000	-0.3260328439667231	True	0.27	0.070418432	0.208688	0.191472	1.070103	0	
cand_chr21_210	100000	-0.2972092705292757	True	0.32	0.0729088	0.217816	0.232824	1.086495	0	
cand_chr21_163	100000	-0.2930038826012304	True	0.28	0.069828608	0.206792	0.191256	1.067919	0	
cand_chr21_127	100000	-0.2925216728346843	True	0.29	0.081149952	0.223552	0.2122	2.109303	0	
cand_chr21_047	100000	-0.2815811577726088	True	0.27	0.071319552	0.20944	0.194072	1.069095	0	
cand_chr21_093	100000	-0.2355996563784524	True	1.2	0.11943936	3.92952	0.080224	1.057559	0	
cand_chr21_184	100000	-0.184717420562904	True	0.29	0.07118848	0.213232	0.19116	1.062895	0	
cand_chr21_096	100000	-0.1348410006451865	True	0.28	0.070320128	0.209224	0.194384	1.078975	0	
cand_chr21_157	100000	-0.1053957933305728	True	0.3	0.07200768	0.216536	0.209056	1.079855	0	
cand_chr21_043	100000	-0.1016252221210168	True	0.89	0.202653696	0.651744	0.817616	4.326071	0	
cand_chr21_246	100000	-0.0982804773888673	True	0.3	0.07192576	0.218352	0.211432	1.112079	0	
cand_chr21_352	100000	-0.0943857184202265	True	0.37	0.099057664	0.291832	0.2956	2.140551	0	
cand_chr21_106	100000	-0.0903471530940751	True	0.29	0.072187904	0.212768	0.202144	1.073079	0	
cand_chr21_061	100000	-0.090194481255646	True	0.39	0.074694656	0.20316	0.20904	1.072823	0	
cand_chr21_263	100000	-0.0888354872953835	True	0.3	0.07233536	0.216504	0.195896	1.070335	0	
cand_chr21_177	100000	-0.0887210799719579	True	0.28	0.068599808	0.201312	0.191408	1.073151	0	
cand_chr21_294	100000	-0.0869548172629604	True	0.34	0.081330176	0.244936	0.264496	2.130207	0	
cand_chr21_071	100000	-0.0853377790854865	True	0.31	0.072679424	0.217456	0.24152	1.081607	0	
cand_chr21_191	100000	-0.0824135167791029	True	0.31	0.078741504	0.221864	0.218264	2.121591	0	
cand_chr21_137	100000	-0.0295227605441228	True	0.49	0.118571008	0.401504	0.426744	2.162143	0	
cand_chr21_332	100000	0.0459695710178051	True	0.38	0.085950464	0.254016	0.286824	2.136455	0	
cand_chr21_237	100000	0.0736995890360419	True	0.3	0.072138752	0.217192	0.208984	1.089279	0	
cand_chr21_287	100000	0.1093301364751362	True	0.34	0.07094272	0.218256	0.288168	1.095399	0	
cand_chr21_116	100000	0.1837908943958727	True	0.55	0.112951296	0.324488	0.652672	2.147871	0	
cand_chr21_000	100000	0.1841329349874112	True	0.61	0.114130944	0.282728	0.896032	2.162167	0	
cand_chr21_138	100000	0.2410486077597691	True	0.33	0.082853888	0.234984	0.287488	2.134207	0	
cand_chr21_088	100000	0.2532213452791538	True	1.4	0.145752064	4.882232	0.176936	1.068503	0	
cand_chr21_192	100000	0.2663008826293662	True	0.34	0.083689472	0.241824	0.247624	2.129663	0	
cand_chr21_243	100000	0.3980011690202274	True	0.43	0.084344832	0.2406	0.689384	1.104519	0	
cand_chr21_052	100000	0.402038311372071	True	0.6	0.126304256	0.377376	0.445464	2.157527	0	
cand_chr21_358	100000	0.5376917955743235	True	0.54	0.100794368	0.282544	0.734496	2.186047	0	
cand_chr21_145	100000	0.625546891249027	True	0.74	0.124944384	0.384328	0.678792	2.185223	0	
cand_chr21_330	100000	0.6297050613164049	True	0.46	0.08265728	0.246616	0.43544	1.106207	0	
cand_chr21_046	100000	1.2531914107914428	True	153.72	0.091815936	0.267744	0.397344	2.146823	0	
cand_chr21_244	100000	1.35489365653241	True	273.77	0.152109056	0.332336	1.489376	2.154687	0	
cand_chr21_195	100000	1.659501880724125	True	1.96	0.088604672	0.241144	1.232768	1.098063	0	
cand_chr21_313	100000	1.9250745179787208	True	117.47	0.110084096	0.363984	0.83996	2.157919	0	
cand_chr21_081	100000	2.13925270066326	True	1.0	0.136052736	0.257616	3.213904	1.110127	0	
cand_chr21_347	100000	2.888706439396577	True	35.77	0.1601536	0.358176	3.76944	2.231455	0	
