region_id	n_distinct_haplotypes	n_raw_paths
cand_chr21_017	19	1554
cand_chr21_015	20	6425
cand_chr21_018	22	1614
cand_chr21_165	466	25463
cand_chr21_133	466	38609
cand_chr21_257	466	69842
cand_chr21_162	466	35033
cand_chr21_063	465	42485
cand_chr21_238	466	20879
cand_chr21_218	466	75952
cand_chr21_249	466	35560
cand_chr21_254	466	40548
cand_chr21_293	466	56997
cand_chr21_324	466	48976
cand_chr21_180	465	51283
cand_chr21_089	466	130214
cand_chr21_211	466	42744
cand_chr21_196	466	74394
cand_chr21_204	466	18428
cand_chr21_241	466	57995
cand_chr21_283	466	71666
cand_chr21_164	466	52180
cand_chr21_128	466	72240
cand_chr21_325	466	52049
cand_chr21_350	466	53486
cand_chr21_298	466	55028
cand_chr21_198	466	81291
cand_chr21_090	466	132767
cand_chr21_366	466	45662
cand_chr21_053	466	140720
cand_chr21_132	466	35193
cand_chr21_014	18	5163
cand_chr21_295	466	54692
cand_chr21_062	465	50023
cand_chr21_242	466	51667
cand_chr21_016	18	5890
cand_chr21_140	466	44952
cand_chr21_256	466	54224
cand_chr21_055	466	50361
cand_chr21_066	465	38013
cand_chr21_154	466	62817
cand_chr21_323	466	46188
cand_chr21_110	466	68666
cand_chr21_013	16	5687
cand_chr21_194	466	36505
cand_chr21_102	466	67816
cand_chr21_310	466	73035
cand_chr21_174	466	64233
cand_chr21_099	466	94149
cand_chr21_321	466	62527
cand_chr21_044	465	59516
cand_chr21_268	466	62567
cand_chr21_292	466	44013
cand_chr21_127	466	63730
cand_chr21_258	466	41251
cand_chr21_095	466	60610
cand_chr21_240	466	42910
cand_chr21_214	466	78574
cand_chr21_220	466	60425
cand_chr21_103	466	81244
cand_chr21_065	465	29190
cand_chr21_215	466	56268
cand_chr21_279	466	44894
cand_chr21_285	466	40346
cand_chr21_153	466	55089
cand_chr21_320	466	76383
cand_chr21_302	466	67421
cand_chr21_216	466	65416
cand_chr21_122	466	105260
cand_chr21_107	466	69861
cand_chr21_250	466	53939
cand_chr21_043	465	147604
cand_chr21_267	466	82198
cand_chr21_300	466	86794
cand_chr21_277	466	75006
cand_chr21_199	466	74122
cand_chr21_163	466	45677
cand_chr21_210	466	67334
cand_chr21_306	466	66811
cand_chr21_119	466	96534
cand_chr21_233	466	66701
cand_chr21_123	466	70783
cand_chr21_158	466	61477
cand_chr21_264	466	53381
cand_chr21_176	466	45733
cand_chr21_253	466	47750
cand_chr21_104	466	59365
cand_chr21_357	466	72252
cand_chr21_159	466	57758
cand_chr21_259	466	39794
cand_chr21_047	465	78825
cand_chr21_286	466	40063
cand_chr21_336	466	51937
cand_chr21_239	466	46810
cand_chr21_108	466	57311
cand_chr21_297	466	59720
cand_chr21_113	466	61982
cand_chr21_141	466	56801
cand_chr21_185	466	96249
cand_chr21_232	466	63523
cand_chr21_270	466	31758
cand_chr21_252	466	54783
cand_chr21_234	466	44443
cand_chr21_296	466	49508
cand_chr21_173	466	49932
cand_chr21_209	466	49001
cand_chr21_178	466	90369
cand_chr21_097	466	69720
cand_chr21_129	466	75059
cand_chr21_189	466	62600
cand_chr21_076	466	41228
cand_chr21_318	466	97349
cand_chr21_074	466	84692
cand_chr21_352	466	62771
cand_chr21_156	466	80006
cand_chr21_346	466	63513
cand_chr21_105	466	44503
cand_chr21_064	465	36952
cand_chr21_059	466	76376
cand_chr21_067	465	59609
cand_chr21_248	466	42988
cand_chr21_224	466	39679
cand_chr21_333	466	62658
cand_chr21_235	466	52030
cand_chr21_120	466	45550
cand_chr21_308	466	45902
cand_chr21_231	466	77321
cand_chr21_309	466	119093
cand_chr21_188	466	50092
cand_chr21_299	466	52956
cand_chr21_182	466	73874
cand_chr21_068	465	46832
cand_chr21_093	466	66946
cand_chr21_078	466	85646
cand_chr21_338	466	73914
cand_chr21_069	465	18378
cand_chr21_184	466	63990
cand_chr21_175	466	72453
cand_chr21_197	466	63377
cand_chr21_168	466	45841
cand_chr21_265	466	43759
cand_chr21_072	465	28417
cand_chr21_228	466	27396
cand_chr21_112	466	77878
cand_chr21_314	466	43433
cand_chr21_212	466	45753
cand_chr21_166	466	37209
cand_chr21_271	466	77722
cand_chr21_111	466	64976
cand_chr21_262	466	60245
cand_chr21_130	466	61417
cand_chr21_266	466	67411
cand_chr21_179	465	55794
cand_chr21_191	466	73423
cand_chr21_139	466	64574
cand_chr21_203	466	65141
cand_chr21_349	466	50152
cand_chr21_331	466	56022
cand_chr21_282	466	67002
cand_chr21_134	466	94205
cand_chr21_288	466	108604
cand_chr21_144	466	66935
cand_chr21_146	466	78579
cand_chr21_096	466	45026
cand_chr21_171	466	90810
cand_chr21_157	466	72094
cand_chr21_362	466	111925
cand_chr21_280	466	56073
cand_chr21_148	466	64083
cand_chr21_152	466	151244
cand_chr21_115	466	75604
cand_chr21_201	466	44993
cand_chr21_131	466	73752
cand_chr21_071	465	68186
cand_chr21_263	466	47658
cand_chr21_106	466	62783
cand_chr21_230	466	67862
cand_chr21_137	466	72428
cand_chr21_291	466	53144
cand_chr21_328	466	80186
cand_chr21_190	466	70801
cand_chr21_087	466	52746
cand_chr21_273	466	78562
cand_chr21_294	466	65488
cand_chr21_311	466	266333
cand_chr21_301	466	73992
cand_chr21_167	466	73125
cand_chr21_054	466	118902
cand_chr21_208	466	32962
cand_chr21_116	466	164133
cand_chr21_082	466	362761
cand_chr21_246	466	70484
cand_chr21_049	466	59076
cand_chr21_305	466	62057
cand_chr21_341	466	96356
cand_chr21_319	466	73339
cand_chr21_332	466	72871
cand_chr21_207	466	46510
cand_chr21_100	466	128519
cand_chr21_290	466	54573
cand_chr21_135	466	76529
cand_chr21_057	466	69744
cand_chr21_177	466	53925
cand_chr21_051	466	198592
cand_chr21_098	466	78498
cand_chr21_222	466	75959
cand_chr21_327	466	71072
cand_chr21_147	466	88021
cand_chr21_109	466	87783
cand_chr21_355	466	111497
cand_chr21_070	465	16454
cand_chr21_202	466	43233
cand_chr21_272	466	64831
cand_chr21_307	466	81592
cand_chr21_091	466	71071
cand_chr21_045	465	176941
cand_chr21_261	466	41076
cand_chr21_193	466	82027
cand_chr21_118	466	67286
cand_chr21_058	466	81818
cand_chr21_337	466	95077
cand_chr21_344	466	40029
cand_chr21_160	466	46671
cand_chr21_237	466	34965
cand_chr21_092	466	61138
cand_chr21_322	466	84454
cand_chr21_221	466	57639
cand_chr21_183	466	81512
cand_chr21_339	466	74349
cand_chr21_274	466	60691
cand_chr21_213	466	46571
cand_chr21_138	466	44749
cand_chr21_227	466	61387
cand_chr21_356	466	104551
cand_chr21_342	466	54654
cand_chr21_143	466	70492
cand_chr21_125	466	60722
cand_chr21_094	466	70276
cand_chr21_061	466	35793
cand_chr21_170	466	84451
cand_chr21_060	466	42194
cand_chr21_192	466	91942
cand_chr21_317	466	75226
cand_chr21_172	466	44085
cand_chr21_281	466	76280
cand_chr21_225	466	44383
cand_chr21_348	466	54795
cand_chr21_287	466	62873
cand_chr21_205	466	23099
cand_chr21_084	466	381557
cand_chr21_080	466	80749
cand_chr21_269	466	33333
cand_chr21_052	466	200859
cand_chr21_077	466	47269
cand_chr21_000	466	94526
cand_chr21_085	466	363627
cand_chr21_150	466	76542
cand_chr21_161	466	60730
cand_chr21_255	466	54978
cand_chr21_361	466	82690
cand_chr21_056	466	51442
cand_chr21_275	466	39978
cand_chr21_136	466	59423
cand_chr21_142	466	69134
cand_chr21_079	466	62170
cand_chr21_088	466	83233
cand_chr21_169	466	52804
cand_chr21_124	466	106307
cand_chr21_200	466	89419
cand_chr21_101	466	65652
cand_chr21_050	466	91950
cand_chr21_236	466	58796
cand_chr21_219	466	63272
cand_chr21_245	466	49881
cand_chr21_206	466	65665
cand_chr21_021	430	110462
cand_chr21_316	466	67072
cand_chr21_151	466	90921
cand_chr21_243	466	81686
cand_chr21_155	466	72716
cand_chr21_343	466	72702
cand_chr21_358	466	94733
cand_chr21_278	466	69239
cand_chr21_083	466	363847
cand_chr21_048	466	113804
cand_chr21_217	466	50034
cand_chr21_223	466	46737
cand_chr21_187	466	54722
cand_chr21_186	466	58006
cand_chr21_126	466	64350
cand_chr21_086	466	80918
cand_chr21_075	466	81968
cand_chr21_181	465	52736
cand_chr21_312	466	160080
cand_chr21_335	466	66540
cand_chr21_226	466	80239
cand_chr21_121	466	69127
cand_chr21_360	466	58962
cand_chr21_073	465	74118
cand_chr21_303	466	80425
cand_chr21_247	466	29154
cand_chr21_330	466	78154
cand_chr21_145	466	83068
cand_chr21_340	466	86402
cand_chr21_229	466	58273
cand_chr21_315	466	74942
cand_chr21_149	466	101414
cand_chr21_351	466	90496
cand_chr21_304	466	70852
cand_chr21_359	466	108291
cand_chr21_276	466	133036
cand_chr21_251	466	78766
cand_chr21_329	466	71767
cand_chr21_363	466	118115
cand_chr21_005	97	226030
cand_chr21_289	466	65933
cand_chr21_003	97	209132
cand_chr21_042	463	120725
cand_chr21_260	466	55809
cand_chr21_364	466	89525
cand_chr21_334	466	56618
cand_chr21_365	466	66666
cand_chr21_326	466	89475
cand_chr21_114	466	75134
cand_chr21_345	466	42568
cand_chr21_117	466	82923
cand_chr21_007	98	682510
cand_chr21_020	433	692477
cand_chr21_353	466	86865
cand_chr21_046	465	59102
cand_chr21_244	466	82844
cand_chr21_195	466	88377
cand_chr21_284	466	74418
cand_chr21_354	466	51612
cand_chr21_019	433	952971
cand_chr21_004	128	71080
cand_chr21_022	430	418575
cand_chr21_313	466	108358
cand_chr21_001	423	4377086
cand_chr21_006	128	157024
cand_chr21_081	466	83399
cand_chr21_012	398	1283788
cand_chr21_347	466	95910
cand_chr21_009	432	2423602
cand_chr21_010	432	2719131
