region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation
cand_chr21_002	chr21	6034199	6134199	100000	100000	294778	1	0	1	1	0.0	0.0	1e-05	0.0	2.94778
cand_chr21_008	chr21	7934199	8034199	100000	100000	406864	1	0	1	1	0.0	0.0	1e-05	0.0	4.06864
cand_chr21_011	chr21	8534199	8634199	100000	100000	325470	1	0	1	1	0.0	0.0	1e-05	0.0	3.2547
cand_chr21_023	chr21	10934199	11034199	100000	100000	1185440	2	1	1	2	1.0	1.0	2e-05	0.5	11.8544
cand_chr21_024	chr21	11034199	11134199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_025	chr21	11134199	11234199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_026	chr21	11234199	11334199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_027	chr21	11334199	11434199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_028	chr21	11434199	11534199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_029	chr21	11534199	11634199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_030	chr21	11634199	11734199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_031	chr21	11734199	11834199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_032	chr21	11834199	11934199	100000	100000	1000000	1	0	1	1	0.0	0.0	1e-05	0.0	10.0
cand_chr21_033	chr21	11934199	12034199	100000	100000	1965808	2	1	1	2	1.0	1.0	2e-05	0.5	19.65808
cand_chr21_034	chr21	12034199	12134199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_035	chr21	12134199	12234199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_036	chr21	12234199	12334199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_037	chr21	12334199	12434199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_038	chr21	12434199	12534199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_039	chr21	12534199	12634199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_040	chr21	12634199	12734199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
cand_chr21_041	chr21	12734199	12834199	100000	100000	965808	1	0	1	1	0.0	0.0	1e-05	0.0	9.65808
