region_id	chrom	start	end	window_size	reference_length	graph_bp	node_count	edge_count	path_count	step_count	mean_degree	max_degree	node_density	edge_node_ratio	sequence_inflation	complexity_score	index_success	wall_time_sec	max_rss_gb	gbz_size_mb	dist_size_mb	min_size_mb	exit_code	failure_reason	total_reads	mapped_reads	mapping_rate	correct_reads	incorrect_reads	accuracy	sensitivity	mean_mapq	median_mapq	high_mapq_fraction	n_segdup	max_segdup_identity	max_tandem_repeat_span_bp	hazard_flag_v3	complexity_tier	pipeline_status
cand_chr21_050	chr21	13834199	13934199	100000	100000	75422	11226	15449	467	7818498	2.75236	10.0	0.11226	1.3761802957420275	0.75422	-2.1659755133656193	True	0.98	0.261062656	0.402704	0.734816	2.129959	0		60000.0	60000.0	1.0	59217.0	783.0	0.98695	0.98695	57.511633333333336	60.0	0.9522	41	0.9731	88.0	True	low	success
cand_chr21_165	chr21	25334199	25434199	100000	100000	101354	3074	4207	466	947659	2.73715	14.0	0.03074	1.3685751463890696	1.01354	-1.104591280159794	True	0.23	0.060522496	0.179336	0.139944	1.059863	0		60000.0	60000.0	1.0	59999.0	1.0	0.9999833333333332	0.9999833333333332	59.8679	60.0	0.9974333333333332	3	0.9176	308.1	True	low	success
cand_chr21_238	chr21	32634199	32734199	100000	100000	211232	6341	8832	466	1952041	2.78568	16.0	0.06341	1.3928402460179783	2.11232	-0.9787693111340978	True	0.43	0.09986048	0.356368	0.349464	2.161055	0		60000.0	60000.0	1.0	59765.0	235.0	0.9960833333333332	0.9960833333333332	59.2095	60.0	0.9856333333333334	0	0.0	688.8	False	low	success
cand_chr21_162	chr21	25034199	25134199	100000	100000	101627	3383	4625	466	1050980	2.73426	26.0	0.03383	1.3671297664794562	1.01627	-0.8792919022093129	True	0.25	0.063209472	0.186224	0.156456	1.059615	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9672	60.0	0.9991666666666666	0	0.0	72.0	False	low	success
cand_chr21_204	chr21	29234199	29334199	100000	100000	101121	2732	3744	466	854384	2.74085	16.0	0.02732	1.370424597364568	1.01121	-0.8746311259115199	True	0.23	0.057556992	0.17264	0.127184	1.059615	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.9616	60.0	0.999	0	0.0	117.6	False	low	success
cand_chr21_283	chr21	37134199	37234199	100000	100000	101343	3563	4891	466	1112417	2.74544	15.0	0.03563	1.372719618299186	1.01343	-0.6886878467260691	True	0.25	0.065880064	0.189192	0.1554	1.070351	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.8491	60.0	0.9965	2	0.957	632.7	True	low	success
cand_chr21_366	chr21	45634199	45734199	100000	100000	101416	3496	4850	466	1606516	2.7746	11.0	0.03496	1.387299771167048	1.01416	-0.6556835385920131	True	0.38	0.072368128	0.201248	0.192216	1.086567	0		60000.0	60000.0	1.0	59789.0	211.0	0.9964833333333334	0.9964833333333334	58.88876666666667	60.0	0.9783	0	0.0	1826.1	True	low	success
cand_chr21_256	chr21	34434199	34534199	100000	100000	101783	4449	6092	466	1365188	2.73859	25.0	0.04449	1.369296471117105	1.01783	-0.470769694571641	True	0.28	0.07225344	0.21292	0.198992	1.070447	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.785866666666664	60.0	0.9951666666666666	1	0.9998	774.3	True	low	success
cand_chr21_270	chr21	35834199	35934199	100000	100000	162418	5352	7352	466	1651938	2.74738	33.0	0.05352	1.3736920777279522	1.62418	-0.4340856082675894	True	0.37	0.086491136	0.28684	0.268784	2.136287	0		60000.0	60000.0	1.0	59950.0	50.0	0.9991666666666666	0.9991666666666666	59.454633333333334	60.0	0.9898666666666668	4	0.9105	393.7	True	low	success
cand_chr21_090	chr21	17834199	17934199	100000	100000	99880	3435	3615	132767	1817755	2.1048	5.0	0.03435	1.0524017467248907	0.9988	-0.4161315576149719	True	2.01	0.18980864	7.6556	0.08728	1.055487	0		60000.0	60000.0	1.0	60000.0	0.0	1.0	1.0	59.63563333333333	60.0	0.9936666666666668	0	0.0	187.2	False	low	success
cand_chr21_174	chr21	26234199	26334199	100000	100000	102285	4521	6247	466	1391098	2.76355	12.0	0.04521	1.3817739438177394	1.02285	-0.3959610838591673	True	0.29	0.072613888	0.216568	0.194976	1.082335	0		60000.0	60000.0	1.0	59965.0	35.0	0.9994166666666666	0.9994166666666666	59.639433333333336	60.0	0.9921333333333332	1	0.9594	273.6	True	low	success
